ID	father	mother	sex	line	treat	d8weight	d21weight	d36weight	d78weight	age1stegg	eggNumber	batch
6986	5884	5803	F	B	Bisphenol	35.2	148	257	407	56	15	1
6949	5939	5908	F	B	Bisphenol	33	146	236	407	53	17	1
2235	5784	5733	F	B	Control	34	164	276	407	52	25	2
2040	5888	5842	M	B	5Aza	40	166	275	407			2
2016	5772	5780	M	B	5Aza	51	195	289	407			2
7180	5817	5913	F	B	Genistein	39	154	257	408	55	14	1
6562	5890	5912	M	B	IC	40.1	197	297	408			1
7171	5784	5733	F	B	Genistein	39	154	259	409	54	17	1
1399	5873	5764	F	B	IC	41	165	272	409	53	23	2
1881	5822	5778	F	B	Genistein	36	163	281	409	52	24	2
1832	5794	5766	F	B	Genistein	37	164	247	410	76	1	2
2028	5858	5740	F	B	5Aza	41	168	256	411	52	18	2
6607	5826	5924	F	B	IC	44	180	260	411			1
7156	5939	5908	F	B	Genistein	34	117	216	413	57	13	1
7160	5826	5924	F	B	Genistein	47	177	257	413	57	14	1
6946	5934	5938	F	B	Bisphenol	46	180	273	413	55	15	1
6965	5784	5733	F	B	Bisphenol	39	167	262	413	55	16	1
1405	5772	5780	F	B	IC	47	160	280	413	52	24	2
7146	5788	5896	F	B	Genistein	41	164	250	414	55	17	1
6984	5821	5819	F	B	Bisphenol	36	165	239	415	58	1	1
6981	5822	5778	F	B	Bisphenol	40	164	240	415	54	15	1
7367	5885	5805	F	B	Control	38	154	248	415	57	15	1
2212	5793	5711	F	B	Control	48	175	260	415	56	17	2
1659	5888	5842	F	B	Bisphenol	43	185	286	415	53	21	2
1597	5867	5863	F	B	Bisphenol	42	167	271	415	52	25	2
2191	5943	5887	F	B	Control		158	267	416	57	15	2
6778	5773	5748	F	B	5Aza	44	170	264	416	53	16	1
1836	5856	5838	F	B	Genistein	36	165	262	416	54	21	2
7358	5794	5766	F	B	Control	33.9	158	241	417			1
1642	5858	5740	F	B	Bisphenol	43	175	255	418	53	23	2
1987	5795	5871	F	B	5Aza	44	173	269	419	52	22	2
7368	5919	5876	F	B	Control	38.2	167	240	421	58	13	1
1997	5781	5701	F	B	5Aza	46	177	265	421	56	21	2
1861	5744	5806	F	B	Genistein	44	174	262	421	50	24	2
7355	5774	5937	M	B	Control	46.4	188	255	421			1
2010	5878	5728	F	B	5Aza	42	157	247	422	50	26	2
6609	5744	5806	F	B	IC	37	161	256	423	53	19	1
1847	5878	5728	F	B	Genistein	42	186	275	423	52	24	2
7405	5773	5748	F	B	Control	48	176	260	424	56	13	1
7385	5939	5908	F	B	Control	39	165	254	425	57	14	1
7165	5936	5741	F	B	Genistein	45	171	256	425	54	17	1
2240	5926	5731	F	B	Control	39	172	269	425	56	17	2
1395	5878	5728	F	B	IC	44	185	290	425	55	20	2
2225	5744	5806	F	B	Control	46	166	257	425	54	22	2
1627	5933	5715	F	B	Bisphenol	40	163	246	427	55	21	2
6782	5817	5913	F	B	5Aza	44.6	171	251	428	54	14	1
7400	5761	5734	F	B	Control	36.4	162	260	428	53	18	1
6930	5885	5805	F	B	Bisphenol	33	155	261	428			1
6915	5771	5834	F	B	Bisphenol	41.2	168	259	429	54	16	1
1413	5917	5940	F	B	IC	43	163	236	429	58	17	2
6937	5878	5728	F	B	Bisphenol	44.9	180	271	430	53	19	1
2249	5888	5842	F	B	Control		176	284	430	54	22	2
6563	5890	5912	F	B	IC	40.6	162	286	431	55	14	1
2011	5878	5728	F	B	5Aza	36	170	261	431	53	20	2
2194	5856	5838	F	B	Control	39	178	271	431	53	23	2
7392	5744	5806	F	B	Control	45	177	284	432	55	17	1
2171	5771	5834	M	B	Control	34	166	281	432			2
7178	5944	5767	F	B	Genistein	35	155	245	433	57	13	1
1864	5917	5940	F	B	Genistein	32	149	246	433	53	20	2
